ID,Time (sec),Censor,Gender,Reaction Time (ms),Squares,Day,Collector
1,135,1,Male,344,22,Tuesday,Jett
2,199,1,Female,274,22,Tuesday,Jett
3,90,1,Male,239,22,Tuesday,Jett
4,300,0,Male,301,22,Tuesday,Jett
5,12,1,Male,250,22,Tuesday,Jett
6,91,1,Female,294,22,Tuesday,Alie
7,120,1,Non-Binary/Other,312,22,Tuesday,Alie
8,68,1,Male,315,22,Tuesday,Alie
9,69,1,Female,309,22,Tuesday,Alie
10,300,0,Female,399,22,Tuesday,Alie
11,270,1,Non-Binary/Other,309,22,Wednesday,Alie
12,300,0,Non-Binary/Other,290,22,Wednesday,Libby
13,300,0,Female,366,22,Wednesday,Libby
14,73,1,Female,262,22,Wednesday,Libby
15,128,1,Female,382,22,Wednesday,Libby
16,84,1,Non-Binary/Other,271,22,Wednesday,Alie
17,254,1,Female,272,22,Wednesday,Alie
18,300,0,Female,271,22,Wednesday,Alie
19,300,0,Female,288,22,Wednesday,Alie
20,254,1,Female,357,22,Wednesday,Libby
21,240,1,Male,326,19,Thursday,Libby
22,136,1,Female,241,19,Thursday,Libby
23,159,1,Female,256,19,Thursday,Libby
24,126,1,Female,411,19,Thursday,Libby
25,300,0,Female,272,19,Thursday,Libby
26,131,0,Female,494,19,Thursday,Alea
27,121,0,Female,653,19,Thursday,Alea
28,300,0,Male,297,22,Friday,Alea
29,172,1,Female,269,22,Friday,Alea
30,115,1,Female,470,22,Friday,Alea
31,150,1,Male,298,22,Friday,Alea
32,182,1,Female,331,22,Friday,Alea
33,44,1,Female,341,22,Friday,Alea
34,300,0,Male,248,22,Friday,Alea
35,300,0,Female,250,40,Saturday,Jett
36,288,1,Female,268,40,Saturday,Jett
37,300,0,Female,335,40,Saturday,Jett
38,185,1,Female,384,40,Saturday,Jett
39,182,0,Female,343,40,Saturday,Jett
40,65,1,Male,272,40,Saturday,Jett
41,97,1,Female,257,21,Friday2,Libby
42,99,1,Female,311,21,Friday2,
43,116,1,Male,357,21,Friday2,
44,153,1,Female,323,21,Friday2,
45,229,1,Male,308,21,Friday2,
46,300,0,Female,309,21,Friday2,
47,300,0,Female,333,21,Friday2,
48,300,0,Male,297,21,Friday2,
49,300,0,Male,270,21,Friday2,
50,300,0,Male,302,21,Friday2,
51,300,0,Male,289,21,Friday2,